o_orderkey|o_custkey|o_orderstatus|o_totalprice|o_orderdate|o_orderpriority|o_clerk|o_shippriority|o_comment|Unnamed: 9
229|112|F|142290.77|19931229|1-URGENT|Clerk#000000628|0|he fluffily even instructions. furiously i|
230|103|F|107231.6|19931027|1-URGENT|Clerk#000000520|0|odolites. carefully quick requ|
231|91|F|141554.06|19940929|2-HIGH|Clerk#000000446|0| packages haggle slyly after the carefully ironic instruct|
256|125|F|106315.25|19931019|4-NOT SPECIFIED|Clerk#000000834|0|he fluffily final ideas might are final accounts. carefully f|
257|124|O|7102.74|19980328|3-MEDIUM|Clerk#000000680|0|ts against the sly warhorses cajole slyly accounts|
258|43|F|186669.1|19931229|1-URGENT|Clerk#000000167|0|dencies. blithely quick packages cajole. ruthlessly final accounts|
259|44|F|75661.7|19930929|4-NOT SPECIFIED|Clerk#000000601|0|ages doubt blithely against the final foxes. carefully express deposits dazzle|
260|106|O|179292.14|19961210|3-MEDIUM|Clerk#000000960|0|lently regular pinto beans sleep after the slyly e|
261|47|F|201003.12|19930629|3-MEDIUM|Clerk#000000310|0|ully fluffily brave instructions. furiousl|
262|31|O|108443.84|19951125|4-NOT SPECIFIED|Clerk#000000551|0|l packages. blithely final pinto beans use carefu|
263|118|F|79782.56|19940517|2-HIGH|Clerk#000000088|0| pending instructions. blithely un|
288|8|O|163794.53|19970221|1-URGENT|Clerk#000000109|0|uriously final requests. even, final ideas det|
289|104|O|131092.67|19970210|3-MEDIUM|Clerk#000000103|0|sily. slyly special excuse|
290|118|F|62814.89|19940101|4-NOT SPECIFIED|Clerk#000000735|0|efully dogged deposits. furiou|
291|142|F|66817.05|19940313|1-URGENT|Clerk#000000923|0|dolites. carefully regular pinto beans cajol|
292|23|F|30783.05|19920113|2-HIGH|Clerk#000000193|0|g pinto beans will have to sleep f|
293|31|F|37248.78|19921002|2-HIGH|Clerk#000000629|0|re bold, ironic deposits. platelets c|
294|52|F|30059.47|19930716|3-MEDIUM|Clerk#000000499|0|kly according to the frays. final dolphins affix quickly |
295|19|F|89345.99|19940929|2-HIGH|Clerk#000000155|0| unusual pinto beans play. regular ideas haggle|
320|1|O|39835.54|19971121|2-HIGH|Clerk#000000573|0|ar foxes nag blithely|
321|124|F|62251.15|19930321|3-MEDIUM|Clerk#000000289|0|equests run. blithely final dependencies after the deposits wake caref|
322|134|F|127068.89|19920319|1-URGENT|Clerk#000000158|0|fully across the slyly bold packages. packages against the quickly regular i|
323|40|F|79683.42|19940326|1-URGENT|Clerk#000000959|0|arefully pending foxes sleep blithely. slyly express accoun|
324|106|F|26868.85|19920320|1-URGENT|Clerk#000000352|0| about the ironic, regular deposits run blithely against the excuses|
325|41|F|71543.41|19931017|5-LOW|Clerk#000000844|0|ly sometimes pending pa|
326|76|O|229165.17|19950604|2-HIGH|Clerk#000000466|0| requests. furiously ironic asymptotes mold carefully alongside of the blit|
327|145|P|24468.16|19950417|5-LOW|Clerk#000000992|0|ng the slyly final courts. slyly even escapades eat |
352|107|F|16003.86|19940308|2-HIGH|Clerk#000000932|0|ke slyly bold pinto beans. blithely regular accounts against the spe|
353|2|F|179984.42|19931231|5-LOW|Clerk#000000449|0| quiet ideas sleep. even instructions cajole slyly. silently spe|
354|139|O|157062.7|19960314|2-HIGH|Clerk#000000511|0|ly regular ideas wake across the slyly silent ideas. final deposits eat b|
355|71|F|69447.25|19940614|5-LOW|Clerk#000000532|0|s. sometimes regular requests cajole. regular, pending accounts a|
356|148|F|162786.67|19940630|4-NOT SPECIFIED|Clerk#000000944|0|as wake along the bold accounts. even, |
357|61|O|98723.11|19961009|2-HIGH|Clerk#000000301|0|e blithely about the express, final accounts. quickl|
358|4|F|226806.66|19930920|2-HIGH|Clerk#000000392|0|l, silent instructions are slyly. silently even de|
359|79|F|142891.22|19941219|3-MEDIUM|Clerk#000000934|0|n dolphins. special courts above the carefully ironic requests use|
384|115|F|122785.82|19920303|5-LOW|Clerk#000000206|0|, even accounts use furiously packages. slyly ironic pla|
385|34|O|50724.06|19960322|5-LOW|Clerk#000000600|0|hless accounts unwind bold pain|
386|61|F|90380.4|19950125|2-HIGH|Clerk#000000648|0| haggle quickly. stealthily bold asymptotes haggle among the furiously even re|
387|4|O|130647.18|19970126|4-NOT SPECIFIED|Clerk#000000768|0| are carefully among the quickly even deposits. furiously silent req|
388|46|F|120533.46|19921216|4-NOT SPECIFIED|Clerk#000000356|0|ar foxes above the furiously ironic deposits nag slyly final reque|
389|127|F|1984.14|19940217|2-HIGH|Clerk#000000062|0|ing to the regular asymptotes. final, pending foxes about the blithely sil|
390|103|O|168562.27|19980407|5-LOW|Clerk#000000404|0|xpress asymptotes use among the regular, final pinto b|
391|112|F|13282.23|19941117|2-HIGH|Clerk#000000256|0|orges thrash fluffil|
416|41|F|71362.5|19930927|5-LOW|Clerk#000000294|0| the accounts. fluffily bold depo|
417|55|F|91982.29|19940206|3-MEDIUM|Clerk#000000468|0|ironic, even packages. thinly unusual accounts sleep along the slyly unusual |
418|95|P|33124.96|19950413|4-NOT SPECIFIED|Clerk#000000643|0|. furiously ironic instruc|
419|118|O|111597.96|19961001|3-MEDIUM|Clerk#000000376|0|osits. blithely pending theodolites boost carefully|
420|91|O|198039.23|19951031|4-NOT SPECIFIED|Clerk#000000756|0|leep carefully final excuses. fluffily pending requests unwind carefully above|
421|40|F|1084.38|19920222|5-LOW|Clerk#000000405|0|egular, even packages according to the final, un|
422|74|O|106045.89|19970531|4-NOT SPECIFIED|Clerk#000000049|0|aggle carefully across the accounts. regular accounts eat fluffi|
423|104|O|26981.31|19960601|1-URGENT|Clerk#000000674|0|quests. deposits cajole quickly. furiously bold accounts haggle q|
448|149|O|114978.03|19950821|3-MEDIUM|Clerk#000000597|0| regular, express foxes use blithely. quic|
449|97|O|41605.63|19950720|2-HIGH|Clerk#000000841|0|. furiously regular theodolites affix blithely |
450|49|P|153386.61|19950305|4-NOT SPECIFIED|Clerk#000000293|0|d theodolites. boldly bold foxes since the pack|
451|100|O|104664.4|19980525|5-LOW|Clerk#000000048|0|nic pinto beans. theodolites poach carefully; |
452|61|O|2007.48|19971014|1-URGENT|Clerk#000000498|0|t, unusual instructions above the blithely bold pint|
453|46|O|216826.73|19970526|5-LOW|Clerk#000000504|0|ss foxes. furiously regular ideas sleep according to t|
454|49|O|23198.24|19951227|5-LOW|Clerk#000000890|0|dolites sleep carefully blithely regular deposits. quickly regul|
455|13|O|138010.76|19961204|1-URGENT|Clerk#000000796|0| about the final platelets. dependen|
480|73|F|20530.97|19930508|5-LOW|Clerk#000000004|0|ealthy pinto beans. fluffily regular requests along the special sheaves wake |
481|31|F|117827.18|19921008|2-HIGH|Clerk#000000230|0|ly final ideas. packages haggle fluffily|
482|127|O|136634.34|19960326|1-URGENT|Clerk#000000295|0|ts. deposits wake: final acco|
483|35|O|39793.05|19950711|2-HIGH|Clerk#000000025|0|cross the carefully final e|
484|55|O|219920.62|19970103|3-MEDIUM|Clerk#000000545|0|grouches use. furiously bold accounts maintain. bold, regular deposits|
485|101|O|110432.76|19970326|2-HIGH|Clerk#000000105|0| regular ideas nag thinly furiously s|
486|52|O|185968.15|19960311|4-NOT SPECIFIED|Clerk#000000803|0|riously dolphins. fluffily ironic requ|
487|109|F|48502.79|19920818|1-URGENT|Clerk#000000086|0|ithely unusual courts eat accordi|
512|64|P|124661.48|19950520|5-LOW|Clerk#000000814|0|ding requests. carefully express theodolites was quickly. furious|
513|61|O|63703.92|19950501|2-HIGH|Clerk#000000522|0|regular packages. pinto beans cajole carefully against the even|
514|76|O|104585.77|19960404|2-HIGH|Clerk#000000094|0| cajole furiously. slyly final excuses cajole. slyly special instructions |
515|142|F|153720.22|19930829|4-NOT SPECIFIED|Clerk#000000700|0|eposits are furiously furiously silent pinto beans. pending pack|
516|44|O|10677.86|19980421|2-HIGH|Clerk#000000305|0|lar, unusual platelets are carefully. even courts sleep bold, final pinto bea|
517|10|O|82197.79|19970407|5-LOW|Clerk#000000359|0|slyly pending deposits cajole quickly packages. furiou|
518|145|O|223537.09|19980208|2-HIGH|Clerk#000000768|0| the carefully bold accounts. quickly regular excuses are|
519|64|O|95731.5|19971031|1-URGENT|Clerk#000000985|0|ains doze furiously against the f|
544|94|F|47627.89|19930217|2-HIGH|Clerk#000000145|0|the special, final accounts. dogged dolphins|
545|64|O|23476.12|19951107|2-HIGH|Clerk#000000537|0|as. blithely final hockey players about th|
546|145|O|14790.37|19961101|2-HIGH|Clerk#000000041|0|osits sleep. slyly special dolphins about the q|
547|100|O|96855.29|19960622|3-MEDIUM|Clerk#000000976|0|ing accounts eat. carefully regular packa|
548|124|F|99088.75|19940921|1-URGENT|Clerk#000000435|0|arefully express instru|
549|110|F|141679.41|19920713|1-URGENT|Clerk#000000196|0|ideas alongside of |
550|25|O|33123.28|19950802|1-URGENT|Clerk#000000204|0|t requests. blithely |
551|91|O|46355.83|19950530|1-URGENT|Clerk#000000179|0|xpress accounts boost quic|
576|31|O|18307.45|19970513|3-MEDIUM|Clerk#000000955|0|l requests affix regular requests. final account|
577|56|F|34768.68|19941219|5-LOW|Clerk#000000154|0| deposits engage stealthil|
578|94|O|70392.02|19970110|5-LOW|Clerk#000000281|0|e blithely even packages. slyly pending platelets bes|
579|68|O|120828.12|19980311|2-HIGH|Clerk#000000862|0| regular instructions. blithely even p|
580|61|O|88219.12|19970705|2-HIGH|Clerk#000000314|0|tegrate fluffily regular accou|
581|70|O|126066.0|19970223|4-NOT SPECIFIED|Clerk#000000239|0| requests. even requests use slyly. blithely ironic |
582|50|O|129004.81|19971021|1-URGENT|Clerk#000000378|0|n pinto beans print a|
583|49|O|127817.38|19970319|3-MEDIUM|Clerk#000000792|0|efully express requests. a|
608|26|O|62567.99|19960228|3-MEDIUM|Clerk#000000995|0|nic waters wake slyly slyly expre|
609|127|F|21088.59|19940601|3-MEDIUM|Clerk#000000348|0|- ironic gifts believe furiously ca|
610|52|O|175142.28|19950802|1-URGENT|Clerk#000000610|0|totes. ironic, unusual packag|
611|106|F|73907.63|19930127|1-URGENT|Clerk#000000401|0|ounts detect furiously ac|
612|82|F|145695.42|19921021|3-MEDIUM|Clerk#000000759|0|boost quickly quickly final excuses. final foxes use bravely afte|
613|139|O|33396.35|19950618|2-HIGH|Clerk#000000172|0|ts hinder among the deposits. fluffily ironic depos|
614|134|F|218116.21|19921201|2-HIGH|Clerk#000000388|0| deposits! even, daring theodol|
615|67|F|32890.89|19920509|5-LOW|Clerk#000000388|0|t to promise asymptotes. packages haggle alongside of the fluffil|
640|97|F|145495.62|19930123|2-HIGH|Clerk#000000433|0|r, unusual accounts boost carefully final ideas. slyly silent theod|
641|133|F|120626.49|19930830|5-LOW|Clerk#000000175|0|ents cajole furiously about the quickly silent pac|
642|40|F|22994.51|19931216|3-MEDIUM|Clerk#000000357|0| among the requests wake slyly alongside of th|
643|58|P|180396.95|19950325|2-HIGH|Clerk#000000354|0|g dependencies. regular accounts |
644|8|F|201268.06|19920501|1-URGENT|Clerk#000000550|0| blithely unusual platelets haggle ironic, special excuses. excuses unwi|
645|115|F|234763.73|19941203|2-HIGH|Clerk#000000090|0|quickly daring theodolites across the regu|
646|52|F|142070.65|19941122|2-HIGH|Clerk#000000203|0|carefully even foxes. fina|
647|143|O|56449.23|19970807|1-URGENT|Clerk#000000270|0|egular pearls. carefully express asymptotes are. even account|
672|109|F|89877.09|19940414|5-LOW|Clerk#000000106|0|egular requests are furiously according to |
673|80|F|21137.08|19940310|1-URGENT|Clerk#000000448|0| special pinto beans use quickly furiously even depende|
674|34|F|27204.6|19920829|5-LOW|Clerk#000000448|0|ully special deposits. furiously final warhorses affix carefully. fluffily f|
675|13|O|125188.72|19970731|2-HIGH|Clerk#000000168|0|ffily between the careful|
676|38|O|163966.67|19961213|2-HIGH|Clerk#000000248|0|the final deposits. special, pending|
677|124|F|147915.68|19931124|3-MEDIUM|Clerk#000000824|0|uriously special pinto beans cajole carefully. fi|
678|131|F|135761.05|19930227|5-LOW|Clerk#000000530|0|. blithely final somas about the|
679|49|O|8945.03|19951215|2-HIGH|Clerk#000000853|0|tealthy, final pinto beans haggle slyly. pending platelets about the special, |
704|85|O|56210.26|19961121|3-MEDIUM|Clerk#000000682|0|blithely pending platelets wake alongside of the final, iron|
705|43|O|83773.49|19970213|4-NOT SPECIFIED|Clerk#000000294|0|ithely regular dependencies. express, even packages sleep slyly pending t|
706|148|O|23973.6|19950909|1-URGENT|Clerk#000000448|0|g the packages. deposits caj|
707|118|F|58218.35|19941120|3-MEDIUM|Clerk#000000199|0| ideas about the silent, bold deposits nag dolphins|
708|32|O|100445.59|19980703|3-MEDIUM|Clerk#000000101|0|lphins cajole about t|
709|37|O|72055.87|19980421|1-URGENT|Clerk#000000461|0|ons alongside of the carefully bold pinto bea|
710|133|F|208974.42|19930102|5-LOW|Clerk#000000026|0| regular, regular requests boost. fluffily re|
711|64|F|92484.7|19930923|4-NOT SPECIFIED|Clerk#000000856|0|its. fluffily regular gifts are furi|
736|47|O|130204.17|19980621|5-LOW|Clerk#000000881|0|refully of the final pi|
737|121|F|12984.85|19920426|5-LOW|Clerk#000000233|0|ake blithely express, ironic theodolites. blithely special accounts wa|
738|22|F|114145.18|19930302|4-NOT SPECIFIED|Clerk#000000669|0|ly even foxes. furiously regular accounts cajole ca|
739|1|O|159171.69|19980531|5-LOW|Clerk#000000900|0| against the slyly ironic packages nag slyly ironic|
740|44|O|83490.99|19950716|3-MEDIUM|Clerk#000000583|0|courts haggle furiously across the final, regul|
741|106|O|47985.98|19980707|2-HIGH|Clerk#000000295|0|ic instructions. slyly express instructions solv|
742|103|F|207632.55|19941223|5-LOW|Clerk#000000543|0|equests? slyly ironic dolphins boost carefully above the blithely|
743|79|O|23614.89|19961004|4-NOT SPECIFIED|Clerk#000000933|0|eans. furiously ironic deposits sleep carefully carefully qui|
768|98|O|220636.82|19960820|3-MEDIUM|Clerk#000000411|0|jole slyly ironic packages. slyly even idea|
769|80|F|43092.76|19930602|3-MEDIUM|Clerk#000000172|0|ggle furiously. ironic packages haggle slyly. bold platelets affix s|
770|32|O|64271.75|19980523|5-LOW|Clerk#000000572|0|heodolites. furiously special pinto beans cajole pac|
771|46|O|105302.05|19950617|1-URGENT|Clerk#000000105|0|s. furiously final instructions across the deposit|
772|97|F|128234.96|19930417|2-HIGH|Clerk#000000430|0|s boost blithely fluffily idle ideas? fluffily even pin|
773|133|F|146862.27|19930926|3-MEDIUM|Clerk#000000307|0|tions are quickly accounts. accounts use bold, even pinto beans. gifts ag|
774|80|O|145857.6|19951204|1-URGENT|Clerk#000000883|0|tealthily even depths|
775|134|F|59455.61|19950318|1-URGENT|Clerk#000000191|0|kly express requests. fluffily silent accounts poach furiously|
800|56|O|87892.38|19980714|2-HIGH|Clerk#000000213|0|y alongside of the pending packages? final platelets nag fluffily carefu|
801|118|F|127717.72|19920218|1-URGENT|Clerk#000000186|0|iously from the furiously enticing reques|
802|137|F|156381.95|19950105|1-URGENT|Clerk#000000516|0|posits. ironic, pending requests cajole. even theodol|
803|16|O|27629.66|19970429|5-LOW|Clerk#000000260|0|ic instructions. even deposits haggle furiously at the deposits-- regular de|
804|50|F|94400.43|19930312|3-MEDIUM|Clerk#000000931|0|s. blithely final foxes are about the packag|
805|127|O|90042.41|19950705|4-NOT SPECIFIED|Clerk#000000856|0|y according to the fluffily |
806|131|O|26839.16|19960620|2-HIGH|Clerk#000000240|0| the ironic packages wake carefully fina|
807|145|F|222392.53|19931124|3-MEDIUM|Clerk#000000012|0|refully special tithes. blithely regular accoun|
832|29|F|68494.08|19920419|5-LOW|Clerk#000000495|0|xes. bravely regular packages sleep up the furiously bold accou|
833|56|F|49033.69|19940213|3-MEDIUM|Clerk#000000437|0|ts haggle quickly across the slyl|
834|43|F|46459.92|19940523|3-MEDIUM|Clerk#000000805|0| sleep. quickly even foxes are boldly. slyly express requests use slyly|
835|65|O|62430.67|19951008|4-NOT SPECIFIED|Clerk#000000416|0|s about the carefully special foxes haggle quickly about the|
836|70|O|72843.48|19961125|4-NOT SPECIFIED|Clerk#000000729|0|ely bold excuses sleep regular ideas. furiously unusual ideas wake furiou|
837|116|F|60918.41|19940615|4-NOT SPECIFIED|Clerk#000000563|0|kages sleep slyly above the ironic, final orbits|
838|17|O|82918.36|19980129|5-LOW|Clerk#000000213|0| slyly around the slyly even|
839|28|O|70182.63|19950808|1-URGENT|Clerk#000000951|0|the carefully even platelets. furiously unusual fo|
864|139|O|74710.74|19970817|1-URGENT|Clerk#000000036|0|ly after the slyly regular deposits. express, regular asymptotes nag ca|
865|4|F|70430.54|19930504|3-MEDIUM|Clerk#000000337|0|. special packages wake after the carefully final accounts. express pinto be|
866|40|F|4766.19|19921128|3-MEDIUM|Clerk#000000718|0|ins after the even, even accounts nod blithel|
867|26|F|7471.75|19931116|3-MEDIUM|Clerk#000000877|0|pades nag quickly final, |
868|104|F|127345.45|19920609|4-NOT SPECIFIED|Clerk#000000782|0|onic theodolites print carefully. blithely dogge|
869|136|O|58932.19|19970112|2-HIGH|Clerk#000000245|0|ar sheaves are slowly. slyly even attainments boost theodolites. furiously|
870|34|F|40492.37|19930620|4-NOT SPECIFIED|Clerk#000000123|0|blithely ironic ideas nod. sly, r|
871|16|O|172861.58|19951115|5-LOW|Clerk#000000882|0|oss the ironic theodolites.|
896|2|F|169847.63|19930309|1-URGENT|Clerk#000000187|0|inal packages eat blithely according to the warhorses. furiously quiet de|
897|49|P|57697.44|19950320|1-URGENT|Clerk#000000316|0| wake quickly against |
898|55|F|101020.75|19930603|2-HIGH|Clerk#000000611|0|. unusual pinto beans haggle quickly across |
899|109|O|125562.09|19980408|5-LOW|Clerk#000000575|0|rts engage carefully final theodolites.|
900|46|F|120073.51|19941001|4-NOT SPECIFIED|Clerk#000000060|0| fluffily express deposits nag furiousl|
901|13|O|81826.12|19980721|4-NOT SPECIFIED|Clerk#000000929|0|lyly even foxes are furious, silent requests. requests about the quickly |
902|10|F|37348.62|19940727|4-NOT SPECIFIED|Clerk#000000811|0|yly final requests over the furiously regula|
903|11|O|109351.87|19950707|4-NOT SPECIFIED|Clerk#000000793|0|e slyly about the final pl|
928|67|F|228136.49|19950302|5-LOW|Clerk#000000450|0|ithely express pinto beans. |
929|83|F|109301.02|19921002|2-HIGH|Clerk#000000160|0|its. furiously even foxes affix carefully finally silent accounts. express req|
930|131|F|199102.23|19941217|1-URGENT|Clerk#000000004|0| accounts nag slyly. ironic, ironic accounts wake blithel|
931|103|F|117909.23|19921207|1-URGENT|Clerk#000000881|0|ss packages haggle furiously express, regular deposits. even, e|
932|41|O|40234.5|19970516|2-HIGH|Clerk#000000218|0|ly express instructions boost furiously reg|
933|97|F|71349.3|19920805|4-NOT SPECIFIED|Clerk#000000752|0|ial courts wake permanently against the furiously regular ideas. unusual |
934|52|O|17213.59|19960703|1-URGENT|Clerk#000000229|0|ts integrate carefully. sly, regular deposits af|
935|50|O|97733.87|19970924|5-LOW|Clerk#000000180|0|iously final deposits cajole. blithely even packages |
960|35|F|63537.13|19940921|3-MEDIUM|Clerk#000000120|0|regular accounts. requests|
961|56|P|158893.16|19950604|4-NOT SPECIFIED|Clerk#000000720|0|ons nag furiously among the quickl|
962|37|F|98258.73|19940506|5-LOW|Clerk#000000463|0|ments nag deposits. fluffily ironic a|
963|26|F|53287.25|19940526|3-MEDIUM|Clerk#000000497|0|uses haggle carefully. slyly even dependencies after the packages ha|
964|76|O|131146.47|19950520|3-MEDIUM|Clerk#000000657|0|print blithely ironic, careful theodolit|
965|70|P|41758.44|19950515|5-LOW|Clerk#000000218|0|iously special packages. slyly pending requests are carefully |
966|14|O|120516.93|19980430|2-HIGH|Clerk#000000239|0|special deposits. furious|
967|110|F|179287.95|19920621|3-MEDIUM|Clerk#000000167|0|excuses engage quickly bold dep|
992|55|O|133665.12|19971111|3-MEDIUM|Clerk#000000875|0|ts. regular pinto beans thrash carefully sl|
993|80|O|198238.65|19950910|3-MEDIUM|Clerk#000000894|0|quickly express accounts among the furiously bol|
994|2|F|41433.48|19940420|5-LOW|Clerk#000000497|0|ole. slyly bold excuses nag caref|
995|116|P|135157.92|19950531|3-MEDIUM|Clerk#000000439|0|deas. blithely final deposits play. express accounts wake blithely caref|
996|71|O|47447.63|19971229|1-URGENT|Clerk#000000497|0|arefully final packages into the slyly final requests affix blit|
997|109|O|27561.82|19970519|2-HIGH|Clerk#000000651|0|ly express depths. furiously final requests haggle furiously. carefu|
998|32|F|65269.38|19941126|4-NOT SPECIFIED|Clerk#000000956|0|ronic dolphins. ironic, bold ideas haggle furiously furious|
999|61|F|145249.13|19930905|5-LOW|Clerk#000000464|0|pitaphs sleep. regular accounts use. f|
1024|4|O|176084.63|19971223|5-LOW|Clerk#000000903|0| blithely. even, express theodolites cajole slyly across|
1025|103|F|82034.03|19950505|2-HIGH|Clerk#000000376|0|ross the slyly final pa|
1026|73|O|36464.76|19970604|5-LOW|Clerk#000000223|0|s wake blithely. special acco|
1027|128|F|112770.89|19920603|3-MEDIUM|Clerk#000000241|0|equests cajole. slyly final pinto bean|
