o_orderkey|o_custkey|o_orderstatus|o_totalprice|o_orderdate|o_orderpriority|o_clerk|o_shippriority|o_comment|l_orderkey|l_partkey|l_suppkey|l_linenumber|l_quantity|l_extendedprice|l_discount|l_tax|l_returnflag|l_linestatus|l_shipdate|l_commitdate|l_receiptdate|l_shipinstruct|l_shipmode|l_comment
5511|7727|F|221439.55|1994-11-29|1-URGENT|Clerk#000000438|0|ng instructions integrate fluffily among the fluffily silent accounts. bli|5511|12148|411|4|4.00|4240.56|0.08|0.02|R|F|1994-12-28|1995-01-16|1995-01-24|TAKE BACK RETURN|RAIL|lphins. carefully blithe de
5799|2594|O|114620.56|1995-08-03|1-URGENT|Clerk#000000238|0| unusual deposits sleep blithely along the carefully even requests. care|5799|9989|508|2|30.00|56969.40|0.03|0.08|N|O|1995-09-12|1995-09-13|1995-09-19|NONE|RAIL| furiously s
5892|10012|P|142431.25|1995-05-09|5-LOW|Clerk#000000639|0| pending instruction|5892|14773|774|1|7.00|11814.39|0.02|0.03|N|O|1995-06-26|1995-07-18|1995-07-25|COLLECT COD|AIR|e furiously. quickly even deposits da
5920|11890|F|220098.35|1994-11-20|2-HIGH|Clerk#000000081|0|ns: even ideas cajole slyly among the packages. never ironic patterns|5920|9917|695|5|42.00|76730.22|0.09|0.08|A|F|1994-12-18|1995-01-07|1995-01-14|COLLECT COD|AIR|lar, ironic dependencies sno
5989|7093|O|334299.20|1995-10-15|3-MEDIUM|Clerk#000000028|0|aggle furiously final Tiresias. quickly ironi|5989|15064|65|3|49.00|47973.94|0.05|0.05|N|O|1995-11-20|1995-11-22|1995-11-30|NONE|AIR|ven requests use slyly care
5989|7093|O|334299.20|1995-10-15|3-MEDIUM|Clerk#000000028|0|aggle furiously final Tiresias. quickly ironi|5989|7617|875|5|26.00|39639.86|0.09|0.03|N|O|1995-11-22|1995-12-07|1995-12-14|COLLECT COD|RAIL|ial dolphins sleep fluffily final accoun
6369|8500|F|178483.36|1994-12-20|2-HIGH|Clerk#000000414|0|nto beans affix fluffily depe|6369|16470|471|4|39.00|54072.33|0.09|0.01|R|F|1995-01-25|1995-02-04|1995-02-19|NONE|AIR|equests along the carefully even deposits
6465|9425|O|185534.85|1995-08-13|5-LOW|Clerk#000000713|0|s wake slyly carefully|6465|7833|605|4|3.00|5222.49|0.10|0.08|N|O|1995-10-10|1995-10-18|1995-10-30|TAKE BACK RETURN|AIR|. carefully regular accoun
6502|13637|O|153448.29|1995-08-21|3-MEDIUM|Clerk#000000528|0| whithout the furio|6502|16762|561|6|41.00|68829.16|0.01|0.07|N|O|1995-10-17|1995-10-21|1995-10-31|NONE|AIR|s. quickly final accounts integrate
6596|11188|O|163435.56|1995-07-22|5-LOW|Clerk#000000106|0|rough the blithely even pinto beans. quickl|6596|1394|395|7|3.00|3886.17|0.06|0.01|N|O|1995-08-26|1995-09-01|1995-09-15|TAKE BACK RETURN|AIR|e. blithely s
6977|9772|F|196242.20|1994-12-05|4-NOT SPECIFIED|Clerk#000000900|0|egular packages! bold foxes detect. slyly regular deposits nag quickly. |6977|551|302|3|35.00|50804.25|0.08|0.08|R|F|1995-01-31|1995-02-19|1995-02-22|DELIVER IN PERSON|RAIL|s wake about the ironic, ironic deposits. 
7239|2864|O|85153.36|1995-06-30|3-MEDIUM|Clerk#000000671|0|odolites doze blithely alongside of the even packages. regular, unusual acc|7239|16435|234|1|36.00|48651.48|0.06|0.02|N|O|1995-09-12|1995-09-13|1995-09-19|DELIVER IN PERSON|RAIL|hely ruthless e
7367|13391|O|122304.35|1995-06-06|5-LOW|Clerk#000000670|0|efully special packages. furiously regular foxes use fluffily after t|7367|19236|237|2|24.00|27725.52|0.01|0.03|N|O|1995-06-28|1995-07-06|1995-07-12|NONE|AIR|ructions. slyly ironic p
8103|13724|F|113117.84|1994-11-03|5-LOW|Clerk#000000327|0|s. blithely regular theodolites affix slyly careful excuses. b|8103|19263|533|1|16.00|18916.16|0.08|0.07|A|F|1994-12-31|1995-01-08|1995-01-19|TAKE BACK RETURN|AIR|ironic accou
8391|530|O|235769.85|1995-08-29|2-HIGH|Clerk#000000188|0|lar instructions. ironically special Tiresias are f|8391|17886|887|1|45.00|81174.60|0.01|0.06|N|O|1995-10-15|1995-10-17|1995-10-25|COLLECT COD|RAIL|ntegrate. instructions impress f
8802|12203|F|120661.84|1995-02-01|3-MEDIUM|Clerk#000000223|0|s pinto beans sleep blith|8802|13077|78|3|22.00|21781.54|0.03|0.08|A|F|1995-03-27|1995-04-04|1995-04-06|TAKE BACK RETURN|RAIL|lar instructions. foxes affix s
8839|9281|F|70648.53|1995-04-12|1-URGENT|Clerk#000000998|0|ully express accounts about the carefully ironic dolphins hag|8839|1985|237|1|36.00|67931.28|0.00|0.04|N|F|1995-06-09|1995-06-12|1995-06-22|DELIVER IN PERSON|RAIL|f the ironic, stealthy requests. fur
9316|13918|O|272225.48|1995-09-18|4-NOT SPECIFIED|Clerk#000000363|0|inal pinto beans haggle c|9316|4934|697|4|46.00|84590.78|0.05|0.05|N|O|1995-11-23|1995-12-12|1995-12-22|TAKE BACK RETURN|RAIL|cording to the furious
9413|1475|O|170691.43|1995-07-13|5-LOW|Clerk#000000202|0|latelets are blithely requests. ironic packages boost slyly across t|9413|11907|691|3|24.00|43653.60|0.08|0.06|N|O|1995-08-19|1995-09-06|1995-09-13|COLLECT COD|RAIL| quickly bold requests. blithely ironic fox
9633|13345|O|213071.17|1995-09-12|4-NOT SPECIFIED|Clerk#000000918|0|ns around the slyly ironic pinto beans cajole carefully ironic depths. careful|9633|5900|156|4|12.00|21670.80|0.09|0.04|N|O|1995-11-12|1995-11-13|1995-11-18|COLLECT COD|AIR|t foxes. ironic ideas haggle c
9697|1636|F|182642.11|1995-01-27|3-MEDIUM|Clerk#000000432|0|courts are. even platelets was alongside of |9697|17511|512|6|39.00|55711.89|0.07|0.01|A|F|1995-03-25|1995-03-31|1995-04-23|DELIVER IN PERSON|RAIL|ix fluffily accounts. qui
9863|2467|O|340631.46|1995-09-05|1-URGENT|Clerk#000000473|0|urts nag finally even, stealthy instructions. quickly final ideas |9863|18744|281|3|27.00|44893.98|0.07|0.05|N|O|1995-11-13|1995-11-22|1995-11-29|NONE|RAIL|boost bold requests. pending, pe
9955|10099|O|202107.29|1995-09-05|1-URGENT|Clerk#000000588|0|gainst the quickly regular deposits. carefully final accounts are furiously |9955|2854|359|2|15.00|26352.75|0.00|0.03|N|O|1995-11-12|1995-11-19|1995-11-26|NONE|RAIL|deas. regular, express
10278|3590|O|162597.19|1995-09-13|5-LOW|Clerk#000000697|0|le quickly. pending, bold theo|10278|2885|886|2|28.00|50060.64|0.04|0.06|N|O|1995-12-01|1995-12-06|1995-12-15|COLLECT COD|AIR|e the special instruction
10308|4127|P|279748.66|1995-04-21|2-HIGH|Clerk#000001000|0|are above the furiously final deposits. special packages nag s|10308|16215|216|2|27.00|30542.67|0.06|0.02|N|O|1995-06-27|1995-06-30|1995-07-05|DELIVER IN PERSON|RAIL|ronic instructions above the blithe
10340|14854|O|253430.28|1995-06-23|2-HIGH|Clerk#000000064|0|hely final warthogs detect blithely regular pa|10340|232|233|4|19.00|21512.37|0.01|0.01|N|O|1995-08-08|1995-08-11|1995-08-18|NONE|AIR|blithely ironic
10624|12862|F|199997.45|1994-12-21|1-URGENT|Clerk#000000666|0|re furiously along the slyly final ideas. carefu|10624|10512|33|1|23.00|32717.73|0.06|0.04|R|F|1995-02-09|1995-02-23|1995-03-09|COLLECT COD|AIR|thely regular requests nag furi
10695|14548|P|92644.79|1995-05-03|2-HIGH|Clerk#000000039|0| asymptotes. quickly unus|10695|7849|107|1|5.00|8784.20|0.09|0.02|N|O|1995-07-05|1995-07-07|1995-07-28|COLLECT COD|AIR|lar pinto beans. final
10722|779|F|235887.87|1995-01-20|4-NOT SPECIFIED|Clerk#000000743|0|ding instructions print. f|10722|6597|598|5|43.00|64654.37|0.04|0.01|R|F|1995-02-25|1995-03-01|1995-03-04|DELIVER IN PERSON|AIR|he dependencies. furiously eve
10791|3179|O|192458.66|1995-08-20|4-NOT SPECIFIED|Clerk#000000131|0|efully special pinto beans dazzle fluffily according to the express, silen|10791|17411|213|2|24.00|31881.84|0.07|0.03|N|O|1995-10-08|1995-10-09|1995-10-24|COLLECT COD|AIR|furiously pending dependencies. pinto beans
10979|12652|O|168514.29|1995-10-05|3-MEDIUM|Clerk#000000527|0|ans cajole carefully. regular pinto be|10979|17197|999|5|23.00|25626.37|0.02|0.03|N|O|1995-10-28|1995-11-07|1995-11-09|NONE|RAIL|quests wake slyly about the blithely silent
10979|12652|O|168514.29|1995-10-05|3-MEDIUM|Clerk#000000527|0|ans cajole carefully. regular pinto be|10979|16126|127|6|27.00|28137.24|0.06|0.05|N|O|1995-11-05|1995-11-13|1995-11-20|COLLECT COD|AIR|e slyly sp
11043|8200|F|120453.15|1995-02-20|1-URGENT|Clerk#000000196|0|dolphins. accounts are f|11043|10105|886|4|21.00|21317.10|0.01|0.05|R|F|1995-04-26|1995-04-29|1995-05-20|DELIVER IN PERSON|RAIL|ments. final requests sleep into the even
11107|4448|O|78773.83|1995-10-24|5-LOW|Clerk#000000896|0|ymptotes. escapades use slyly? slyly b|11107|4125|888|3|23.00|23669.76|0.05|0.07|N|O|1995-11-27|1995-12-03|1995-12-25|NONE|AIR|arefully ironic foxes gro
11206|3782|F|205227.79|1994-12-29|5-LOW|Clerk#000000139|0|ending packages cajole busily. slyly |11206|5775|286|2|22.00|36976.94|0.02|0.02|A|F|1995-02-16|1995-02-28|1995-03-06|DELIVER IN PERSON|RAIL|eposits. carefully special pinto b
11329|12847|O|295087.41|1995-08-05|1-URGENT|Clerk#000000903|0|on the daringly express instructions. fluf|11329|11068|852|3|42.00|41120.52|0.03|0.02|N|O|1995-10-01|1995-10-03|1995-10-11|DELIVER IN PERSON|AIR| quickly carefully regular deposits! fi
11329|12847|O|295087.41|1995-08-05|1-URGENT|Clerk#000000903|0|on the daringly express instructions. fluf|11329|8985|760|5|20.00|37879.60|0.04|0.02|N|O|1995-09-08|1995-09-17|1995-09-26|COLLECT COD|RAIL|c patterns. furi
11648|9488|P|225144.89|1995-04-10|5-LOW|Clerk#000000916|0| cajole carefully alon|11648|14360|889|5|38.00|48425.68|0.10|0.06|N|O|1995-06-24|1995-07-04|1995-07-24|COLLECT COD|RAIL|ly express requests. regular as
12258|14062|F|275444.72|1994-12-01|5-LOW|Clerk#000000878|0|ing foxes boost. stealthy|12258|8220|737|6|39.00|44000.58|0.07|0.06|R|F|1995-01-20|1995-01-26|1995-02-08|NONE|RAIL|refully. blithely bold deposits ab
12481|2708|O|97531.29|1995-07-11|1-URGENT|Clerk#000000785|0|uests sleep furiously bold deposits. blithely express acc|12481|12015|16|3|23.00|21321.23|0.09|0.04|N|O|1995-08-10|1995-08-15|1995-09-07|COLLECT COD|RAIL|s snooze. carefully express accounts ha
12641|10963|F|217061.48|1995-02-23|5-LOW|Clerk#000000617|0|its wake according to the slyly unusual excuses. even patterns are carefully |12641|3509|16|1|33.00|46612.50|0.03|0.05|A|F|1995-05-01|1995-05-14|1995-05-29|TAKE BACK RETURN|AIR|d instructions cajole sl
12867|589|F|180993.66|1995-03-12|4-NOT SPECIFIED|Clerk#000000638|0|lar platelets. blithely unusual deposits cajole carefully s|12867|17365|900|5|15.00|19235.40|0.06|0.06|A|F|1995-05-17|1995-06-07|1995-06-10|TAKE BACK RETURN|RAIL|ccording to the furio
12871|11728|O|202248.46|1995-10-05|4-NOT SPECIFIED|Clerk#000000646|0|ally ironic packages. blithely regular asymptotes are a|12871|3776|283|5|25.00|41994.25|0.02|0.03|N|O|1995-11-29|1995-12-03|1995-12-07|COLLECT COD|RAIL|olites sleep carefully blithely 
12930|10720|O|17650.30|1995-11-25|2-HIGH|Clerk#000000162|0|es cajole alongside of the fluffily pending dependencies. regular|12930|1866|369|1|10.00|17678.60|0.04|0.04|N|O|1995-12-27|1996-01-08|1996-01-18|NONE|AIR|ven packages are furiously orbits. ca
13638|13601|O|265504.96|1995-10-01|2-HIGH|Clerk#000000261|0| ironic requests haggle quickly ironic packages. final |13638|18983|788|3|22.00|41843.56|0.02|0.04|N|O|1995-11-19|1995-11-28|1995-12-14|TAKE BACK RETURN|AIR|ve the final, sly requests wake f
13638|13601|O|265504.96|1995-10-01|2-HIGH|Clerk#000000261|0| ironic requests haggle quickly ironic packages. final |13638|14623|888|5|28.00|43053.36|0.02|0.06|N|O|1995-11-16|1995-11-29|1995-11-30|TAKE BACK RETURN|AIR|ymptotes are slyly
13957|4744|O|172004.93|1995-07-22|4-NOT SPECIFIED|Clerk#000000019|0|mpress carefully slyly even requests. blithely pending t|13957|7944|202|3|48.00|88893.12|0.09|0.02|N|O|1995-09-19|1995-09-21|1995-09-30|NONE|RAIL|y under the slyly e
14052|11893|F|17521.25|1995-02-07|4-NOT SPECIFIED|Clerk#000000647|0|mong the regular foxes boost blithely special pinto beans. furious|14052|14080|81|1|17.00|16899.36|0.04|0.08|R|F|1995-04-15|1995-04-17|1995-04-18|NONE|AIR|o the blit
14084|6470|O|260435.35|1995-08-03|4-NOT SPECIFIED|Clerk#000000160|0|luffily above the final packages. requests|14084|7939|197|2|46.00|84958.78|0.05|0.00|N|O|1995-09-01|1995-09-08|1995-09-14|COLLECT COD|RAIL| foxes cajole blithel
14471|934|P|320711.32|1995-05-27|4-NOT SPECIFIED|Clerk#000001000|0|l pinto beans ought to nag carefully carefully ironic foxes.|14471|14612|877|2|13.00|19845.93|0.01|0.00|N|O|1995-08-11|1995-08-14|1995-08-30|TAKE BACK RETURN|RAIL|ructions hinder
14951|3022|O|183990.20|1995-05-18|3-MEDIUM|Clerk#000000031|0|en, pending ideas. slyly bold depo|14951|16396|397|2|44.00|57745.16|0.09|0.02|N|O|1995-06-22|1995-06-25|1995-07-17|COLLECT COD|AIR|its. pending instructions use furi
15111|469|F|162214.89|1994-12-18|4-NOT SPECIFIED|Clerk#000000687|0|s cajole carefully deposits? furiou|15111|19736|737|1|19.00|31458.87|0.09|0.04|A|F|1995-02-18|1995-03-15|1995-03-17|NONE|AIR|ts alongside of the platelets shall u
15264|5668|O|151380.97|1995-11-18|3-MEDIUM|Clerk#000000443|0|r frays doze quickly. furiously regular dolphins are blithely. sly|15264|4495|496|2|9.00|12595.41|0.00|0.05|N|O|1995-12-31|1996-01-10|1996-01-24|COLLECT COD|AIR|about the fi
16258|13960|O|58911.73|1995-07-07|3-MEDIUM|Clerk#000000138|0|ly even asymptotes sleep along the final instructions. dependencies |16258|17210|478|3|43.00|48470.03|0.04|0.06|N|O|1995-09-06|1995-09-08|1995-09-24|DELIVER IN PERSON|RAIL| slyly among the slyly ironic 
17250|12220|F|157905.71|1994-09-21|3-MEDIUM|Clerk#000000960|0|ly. blithely silent packages affix furiously across the express foxes. ironi|17250|18761|30|1|46.00|77268.96|0.01|0.08|A|F|1994-12-15|1994-12-18|1995-01-03|DELIVER IN PERSON|RAIL|usly express deposits haggle slyly pe
17573|13708|O|100540.81|1995-09-05|5-LOW|Clerk#000000353|0|final packages across the fur|17573|4214|723|2|26.00|29073.46|0.08|0.07|N|O|1995-11-02|1995-11-11|1995-11-25|TAKE BACK RETURN|AIR|dencies. slyly silent multiplie
17796|12536|P|123562.31|1995-04-28|2-HIGH|Clerk#000000985|0| quickly special sentiments. express deposits across the blithely ex|17796|1275|276|2|7.00|8233.89|0.00|0.04|N|F|1995-05-28|1995-05-29|1995-06-22|DELIVER IN PERSON|AIR|ely. unusual, furious escapades cajo
18023|3308|F|87518.70|1995-02-25|3-MEDIUM|Clerk#000000895|0| warthogs among the carefully bold re|18023|11662|924|4|4.00|6294.64|0.10|0.07|A|F|1995-04-22|1995-05-05|1995-05-06|COLLECT COD|RAIL|s. final, bold t
18054|13489|O|35569.90|1995-08-30|4-NOT SPECIFIED|Clerk#000000451|0|furiously regular deposits hag|18054|8443|960|1|28.00|37840.32|0.06|0.00|N|O|1995-10-07|1995-10-08|1995-10-12|TAKE BACK RETURN|RAIL|usly express deposits. carefully regular
18116|1345|P|157840.95|1995-05-07|2-HIGH|Clerk#000000018|0|usly special foxes. unusu|18116|12137|924|3|7.00|7343.91|0.10|0.05|N|F|1995-05-31|1995-06-14|1995-06-22|TAKE BACK RETURN|RAIL|totes cajole 
18593|12193|O|257142.34|1995-09-23|2-HIGH|Clerk#000000168|0| regular pinto beans. fluffily bold accounts cajole among the slyly final ac|18593|11482|5|3|45.00|62706.60|0.00|0.06|N|O|1995-11-12|1995-11-20|1995-11-29|DELIVER IN PERSON|AIR|kages cajole alongside of the special 
18884|7187|O|209823.96|1995-06-25|4-NOT SPECIFIED|Clerk#000000509|0|eas. carefully pending accounts are after the packages. silent, bold req|18884|14256|49|5|32.00|37448.00|0.02|0.04|N|O|1995-09-02|1995-09-12|1995-09-29|NONE|AIR|ic excuses-- furiously special escap
19137|6454|O|102170.03|1995-08-31|1-URGENT|Clerk#000000569|0|ic dependencies are pending, sly pinto beans. final, pen|19137|1875|876|2|32.00|56859.84|0.08|0.08|N|O|1995-10-01|1995-10-08|1995-10-31|DELIVER IN PERSON|AIR|sts solve slyly. ideas affix furiously
19654|7340|F|128675.37|1995-01-10|2-HIGH|Clerk#000000646|0|nts. tithes sleep accordin|19654|12060|323|3|20.00|19441.20|0.01|0.05|A|F|1995-03-30|1995-03-31|1995-04-14|TAKE BACK RETURN|AIR|nusual deposits haggle ironically express
19910|3371|P|158839.07|1995-05-04|1-URGENT|Clerk#000000893|0|ress theodolites thrash. f|19910|18543|348|3|48.00|70153.92|0.01|0.00|N|F|1995-06-15|1995-06-30|1995-07-13|DELIVER IN PERSON|RAIL|ly ironic p
20356|5941|O|123531.37|1995-09-20|3-MEDIUM|Clerk#000000924|0|g the furiously ironic requests. e|20356|13486|13|2|29.00|40584.92|0.10|0.01|N|O|1995-12-03|1995-12-13|1996-01-02|TAKE BACK RETURN|AIR|regular deposits across th
20580|8458|O|125293.27|1995-09-10|4-NOT SPECIFIED|Clerk#000000572|0|odolites; furiously express packages cajole care|20580|17888|423|1|4.00|7223.52|0.06|0.03|N|O|1995-10-13|1995-10-22|1995-11-06|NONE|AIR|ions use above the quickl
20646|13837|F|195479.01|1995-03-31|3-MEDIUM|Clerk#000000911|0|g to the dogged, final accounts. quickly regular accounts sublate. pend|20646|19487|488|3|18.00|25316.64|0.08|0.02|R|F|1995-05-23|1995-05-31|1995-06-02|TAKE BACK RETURN|RAIL|pinto beans. r
20804|8132|O|274792.01|1995-11-27|5-LOW|Clerk#000000816|0|e fluffily regular instru|20804|12743|530|7|18.00|29803.32|0.06|0.03|N|O|1995-12-15|1996-01-04|1996-01-12|DELIVER IN PERSON|AIR|e final, express requests. final
20866|14341|P|244958.41|1995-03-28|2-HIGH|Clerk#000000806|0|ons. even decoys are daringly according to the carefully final r|20866|5881|392|3|31.00|55393.28|0.10|0.05|R|F|1995-04-30|1995-05-14|1995-05-16|COLLECT COD|AIR|ajole alongside of the blithely final id
21057|11284|F|178205.89|1995-02-04|5-LOW|Clerk#000000326|0|y along the carefully regular packa|21057|10441|962|6|48.00|64869.12|0.05|0.06|A|F|1995-04-29|1995-05-03|1995-05-22|DELIVER IN PERSON|AIR|lar accounts. furiously even dep
21089|473|O|218114.43|1995-07-29|3-MEDIUM|Clerk#000000347|0|pendencies according to the instructions wake silent in|21089|1609|861|6|50.00|75530.00|0.05|0.07|N|O|1995-09-12|1995-09-21|1995-09-25|COLLECT COD|RAIL|carefully unusual instructions. ironic,
21125|3055|F|67902.44|1995-02-27|4-NOT SPECIFIED|Clerk#000000157|0|into beans haggle. fluffily pending accounts sleep fu|21125|10621|142|3|8.00|12252.96|0.10|0.03|A|F|1995-03-16|1995-03-31|1995-04-08|DELIVER IN PERSON|AIR|ts affix q
21346|9320|O|213606.72|1995-06-08|2-HIGH|Clerk#000000899|0|foxes wake furiously blithely pend|21346|3283|537|3|1.00|1186.28|0.02|0.00|N|O|1995-07-14|1995-07-18|1995-07-29|DELIVER IN PERSON|RAIL|ular instructions detec
21378|1783|O|200110.39|1995-08-08|3-MEDIUM|Clerk#000000854|0|ly bold deposits. slyly unusual courts are final dependenci|21378|5216|217|1|26.00|29151.46|0.06|0.06|N|O|1995-10-02|1995-10-05|1995-10-25|DELIVER IN PERSON|AIR| to the blit
21442|12250|F|230527.71|1994-12-26|5-LOW|Clerk#000000584|0|uriously regular dependencies. furiously special packages sleep |21442|5360|126|1|38.00|48083.68|0.04|0.06|R|F|1995-03-17|1995-03-20|1995-04-12|DELIVER IN PERSON|AIR|press ideas unwi
21442|12250|F|230527.71|1994-12-26|5-LOW|Clerk#000000584|0|uriously regular dependencies. furiously special packages sleep |21442|17925|460|4|9.00|16586.28|0.08|0.07|R|F|1995-01-22|1995-01-28|1995-02-03|TAKE BACK RETURN|RAIL| nag furiously. carefully reg
